Symbol_v85	4|CRko|sg_hCHUK_1|CHUK	4|CRko|sg_hCHUK_2|CHUK	4|CRko|sg_hCHUK_3|CHUK	4|CRko|sg_hCHUK_4|CHUK	4|CRko|sg_hCHUK_5|CHUK	4|CRko|sg_hCHUK_6|CHUK	4|CRko|sg_hCHUK_8|CHUK	4|CRko|sg_hIKBKG_1|IKBKG	4|CRko|sg_hIKBKG_2|IKBKG	4|CRko|sg_hIKBKG_3|IKBKG	4|CRko|sg_hIKBKG_4|IKBKG	4|CRko|sg_hIKBKG_5|IKBKG	4|CRko|sg_hIKBKG_6|IKBKG	4|CRko|sg_hIKBKG_7|IKBKG	4|CRko|sg_hIKBKG_8|IKBKG	4|CRko|sg_hRELA_1|RELA	4|CRko|sg_hRELA_2|RELA	4|CRko|sg_hRELA_3|RELA	4|CRko|sg_hRELA_4|RELA	4|CRko|sg_hRELA_5|RELA	4|CRko|sg_hRELA_6|RELA	4|CRko|sg_hRELA_7|RELA	4|CRko|sg_hRELA_8|RELA	4|CRko|sg_hSMPD1_1|SMPD1	4|CRko|sg_hSMPD1_2|SMPD1	4|CRko|sg_hSMPD1_3|SMPD1	4|CRko|sg_hSMPD1_4|SMPD1	4|CRko|sg_hSMPD1_5|SMPD1	4|CRko|sg_hSMPD1_6|SMPD1	4|CRko|sg_hSMPD1_7|SMPD1	4|CRko|sg_hSMPD1_8|SMPD1	4|CRko|sg_hTAB1_1|TAB1	4|CRko|sg_hTAB1_2|TAB1	4|CRko|sg_hTAB1_3|TAB1	4|CRko|sg_hTAB1_4|TAB1	4|CRko|sg_hTAB1_5|TAB1	4|CRko|sg_hTAB1_6|TAB1	4|CRko|sg_hTAB1_7|TAB1	4|CRko|sg_hTAB1_8|TAB1	4|CRko|sg_hACTG1_1|ACTG1	4|CRko|sg_hACTG1_2|ACTG1	4|CRko|sg_hACTG1_3|ACTG1	4|CRko|sg_hACTG1_4|ACTG1	4|CRko|sg_hACTG1_5|ACTG1	4|CRko|sg_hACTG1_6|ACTG1	4|CRko|sg_hACTG1_7|ACTG1	4|CRko|sg_hACTG1_8|ACTG1	2|CRko|sg_hALAS1-INTRON_1|ALAS1-INTRON	4|CRko|sg_hTNFRSF1A_1|TNFRSF1A	4|CRko|sg_hTNFRSF1A_2|TNFRSF1A	4|CRko|sg_hTNFRSF1A_3|TNFRSF1A	4|CRko|sg_hTNFRSF1A_4|TNFRSF1A	4|CRko|sg_hTNFRSF1A_5|TNFRSF1A	4|CRko|sg_hTNFRSF1A_6|TNFRSF1A	4|CRko|sg_hTNFRSF1A_7|TNFRSF1A	4|CRko|sg_hTNFRSF1A_8|TNFRSF1A	2|CRko|sg_hDMD-INTRON_1|DMD-INTRON	2|CRko|sg_hREEP5-INTRON_1|REEP5-INTRON	2|CRko|sg_hCHAT-INTRON_1|CHAT-INTRON	1|CRko|sg_Neg_Control_Human_GA_0485|Neg_Control_Human
IL32	852.4920000000001	319.433	379.11	242.33499999999998	540.2420000000001	730.572	613.168	916.706	127.88400000000001	173.425	305.281	390.607	62.225300000000004	91.49329999999999	2350.629	306.13899999999995	1130.327	440.034	448.81800000000004	1121.2559999999999	291.679	621.63	515.657	2372.267	3696.684	2535.715	2561.991	2327.328	2009.5069999999998	2294.98	2089.93	1846.545	1898.435	1748.176	2782.7070000000003	1735.215	2389.799	1712.547	1690.0140000000001	2866.047	2430.786	2198.452	2067.3559999999998	2177.843	2137.201	2079.0359999999996	2521.35	2424.9990000000003	186.91000000000003	52.5264	47.0664	205.167	293.034	298.48400000000004	236.625	55.3951	47.0287	2187.296	2258.446	2011.614
IL6ST	96.0257	58.294700000000006	56.234199999999994	50.4418	66.89959999999999	70.8246	70.35979999999999	83.6908	67.2351	73.3399	82.24470000000001	92.3468	59.9916	51.9049	90.4638	76.8288	0.0	77.1957	74.6758	102.39800000000001	93.6857	97.4659	82.8546	89.9997	135.509	93.007	101.907	85.34	78.1331	98.0032	83.7866	103.40899999999999	90.1801	82.6224	218.808	95.5577	128.693	85.82549999999999	105.645	152.04500000000002	97.3189	98.13550000000001	90.42660000000001	82.2849	89.6578	94.4712	109.701	88.4282	63.698899999999995	59.487700000000004	54.5112	62.79840000000001	60.3401	61.8957	61.7813	55.1607	55.9066	82.8614	67.89859999999999	110.772
IL13RA1	107.465	76.3862	61.3464	62.891200000000005	73.0663	81.85889999999999	96.5192	80.7713	83.4265	96.5329	86.7752	107.672	101.475	90.3203	80.452	114.06700000000001	0.0	85.78309999999999	82.464	111.268	129.90699999999998	95.1841	89.8466	92.7928	137.578	95.5552	94.9492	85.34	75.55019999999999	92.89	81.1104	83.5568	79.1014	72.0809	138.63400000000001	87.1261	133.182	73.935	99.1392	140.263	110.44099999999999	101.82300000000001	94.072	85.93900000000001	95.2614	93.377	102.2	80.84859999999999	82.2403	104.10300000000001	76.97179999999999	82.56110000000001	83.77000000000001	79.5203	76.5001	79.61580000000001	79.229	79.562	67.89859999999999	105.096
IL10RB	125.82700000000001	145.463	143.94899999999998	144.886	126.511	112.396	119.07	108.99300000000001	109.772	110.11399999999999	109.07900000000001	107.279	108.176	128.443	110.845	111.127	0.0	122.66299999999998	110.487	104.566	93.14099999999999	128.43300000000002	99.6353	116.689	84.4779	102.881	108.864	109.89	123.97999999999999	98.5145	109.931	114.96499999999999	125.41000000000001	120.515	93.11880000000001	122.82	58.3608	125.15599999999999	114.94	100.40299999999999	94.3119	104.002	109.059	114.36	106.085	100.368	102.423	113.693	138.463	115.495	148.518	146.79	135.337	132.43599999999998	129.75	137.042	126.45000000000002	120.66300000000001	124.42	97.3556
IL6R	66.2246	46.4165	55.965199999999996	50.0125	57.182300000000005	57.9941	68.10470000000001	65.5253	50.2205	49.5201	48.789199999999994	70.7337	44.3555	45.4534	67.2221	74.4769	0.0	76.2918	63.6042	88.7977	83.3367	74.64779999999999	73.0659	53.9998	122.062	56.059	58.934000000000005	48.3983	44.555299999999995	57.4384	53.3187	47.111799999999995	39.6615	40.741400000000006	75.5807	35.693599999999996	31.424999999999997	36.738800000000005	50.8089	92.0043	65.0615	68.72000000000001	59.5418	47.0973	61.639700000000005	60.2452	70.0396	56.502100000000006	29.9056	30.3767	25.6152	25.7434	29.3141	28.2832	28.3125	28.2054	46.1649	60.0486	49.8649	75.6828
IL15RA	77.66340000000001	55.9191	46.5479	50.8711	54.1924	52.092	61.1138	61.9571	47.4762	48.0575	58.5471	51.0854	43.079	42.520900000000005	71.1553	44.2941	339.098	59.3883	53.067099999999996	67.4114	52.2897	71.0621	55.236399999999996	57.7239	66.8927	67.2071	61.594199999999994	62.193000000000005	69.2544	76.1869	68.1409	53.3341	55.6147	62.679	61.3833	53.399899999999995	46.3893	63.5688	59.638400000000004	78.59219999999999	70.5289	71.2341	62.27590000000001	64.62339999999999	64.8637	66.9931	65.9545	69.36439999999999	37.382000000000005	34.1738	29.9054	31.594200000000004	39.1568	36.7598	36.0	31.0181	39.8784	65.89320000000001	65.72009999999999	64.5024
IL4R	16.8572	16.4468	18.8344	15.239899999999999	19.9951	17.4495	19.1685	28.8701	14.8192	21.3125	20.5612	16.1116	18.1889	14.6624	15.7328	20.775100000000002	113.033	25.4909	25.3501	27.398200000000003	23.9661	29.011599999999998	22.3743	24.5172	35.5152	27.3925	25.579	29.459799999999998	25.344800000000003	29.6566	22.645	24.8893	21.271	18.5188	40.504599999999996	16.301	23.9429	20.1225	26.179000000000002	40.863	33.0775	32.3487	29.1633	26.12	30.6279	29.545099999999998	34.017100000000006	30.3182	14.6537	13.2898	11.4827	15.082	13.5872	14.2255	12.9375	12.422899999999998	14.3006	27.9033	22.632900000000003	27.693
IL20RA	22.2756	25.5839	33.902	30.694300000000002	23.358800000000002	19.5024	21.1982	16.543499999999998	23.052	22.1482	21.955199999999998	20.827099999999998	28.081200000000003	48.3859	28.247600000000002	24.499	0.0	21.8751	21.6086	20.499399999999998	20.153299999999998	21.840200000000003	22.7238	28.2413	16.550800000000002	30.896199999999997	26.1929	27.121799999999997	23.2462	19.7711	27.5858	24.8893	33.0143	33.9037	20.4611	31.1968	26.9357	32.622800000000005	23.235799999999998	12.283999999999999	18.042299999999997	17.180000000000003	15.290499999999998	23.819300000000002	14.6615	18.1769	17.1571	25.2652	31.4008	29.4274	42.6499	41.6056	33.914500000000004	45.614	40.031299999999995	29.768	31.6724	18.8536	26.990000000000002	19.4367
IL17RA	8.42859	7.126939999999999	8.0719	4.93685	7.6616800000000005	6.41528	7.892930000000001	8.433950000000001	5.48858	11.909899999999999	11.500300000000001	11.003	10.5304	6.4514499999999995	7.86642	9.21162	0.0	6.5987	7.406490000000001	14.0933	10.6213	10.4311	6.2927599999999995	6.51722	13.1027	8.918479999999999	9.41306	8.4171	7.58731	14.317	10.4991	7.70382	6.2040299999999995	7.407520000000001	19.6259	12.6473	10.475	7.469720000000001	8.82959	25.695999999999998	8.4744	7.961460000000001	9.31606	6.09016	7.138850000000001	8.51092	10.026900000000001	6.43114	6.87828	10.1256	5.80443	4.29057	6.31217	5.83289	4.78126	4.76601	5.32672	7.3528899999999995	5.204350000000001	16.1686
IL11	16.5562	8.77162	7.26471	6.43937	7.8485499999999995	10.7777	11.275599999999999	13.6241	3.56758	9.820450000000001	8.01538	3.9296499999999996	5.105659999999999	2.93248	10.7269	12.5435	0.0	18.4402	16.1874	18.6268	13.8895	20.862299999999998	19.227899999999998	5.58619	20.3437	5.09628	7.366750000000001	6.312819999999999	7.910170000000001	22.3277	9.6756	3.85191	3.76674	4.843380000000001	7.51632	3.65368	8.97858	3.6586399999999997	3.5628200000000003	24.9439	10.388	10.2242	8.60723	7.44353	9.97903	8.87567	12.5522	8.957659999999999	0.897167	1.58212	0.630916	0.39005199999999995	1.06986	0.923191	1.3125	0.9375749999999999	2.44741	7.54143	6.65673	14.6205
